movie_id,rated
3741,PG-13
3617,PG-13
4433,R
5935,PG-13
4169,R
3667,R
3742,PG-13
3873,R
4011,PG-13
5993,PG
3968,PG
5898,PG-13
3257,PG-13
3304,PG
3276,PG-13
3526,PG-13
4218,PG
4684,PG-13
3618,R
3279,R
3838,R
3951,PG-13
4126,PG
3343,PG-13
3936,R
3716,PG-13
4852,R
3777,PG-13
4367,R
3524,R
3521,PG-13
3981,PG-13
3264,R
4702,R
4532,PG
3206,PG-13
3977,G
3657,R
4947,PG-13
4845,PG-13
4250,PG-13
4252,PG-13
4537,R
3392,PG-13
3152,R
4096,PG-13
3211,R
4045,PG-13
3614,PG-13
4003,PG-13
3576,PG
4533,R
4405,R
3299,PG-13
3595,R
4986,TV-MA
3150,PG-13
3896,R
3804,R
3212,PG-13
3196,PG-13
5232,R
3640,PG-13
3678,G
4693,R
3669,PG-13
6618,R
3605,R
3305,PG-13
3278,R
3846,Not Rated
3142,PG-13
3642,R
4450,Not Rated
3658,R
3798,R
5109,Not Rated
3280,PG-13
3151,PG-13
3937,R
3727,R
6558,R
3213,R
5675,R
3346,PG-13
3201,R
3306,PG-13
3253,R
4253,R
3140,PG-13
5893,R
3563,R
3922,R
3655,PG-13
4249,R
3265,R
3613,PG-13
7840,N/A
3580,R
3303,R
3935,R
3397,R
3394,R
3260,PG
4122,R
3588,R
3342,PG
3204,PG-13
3272,PG
3203,PG-13
3345,PG-13
3207,R
3810,R
3720,PG
4447,R
3687,R
3589,PG-13
4062,R
3940,R
3269,PG-13
3208,R
3262,R
3766,R
3144,R
3582,R
4227,R
3835,R
6850,R
3993,R
3141,PG-13
3355,PG
3202,PG-13
3258,R
3619,R
6096,PG-13
3344,PG
3778,PG-13
4087,PG-13
3273,R
3719,PG-13
3644,PG-13
3803,R
5361,PG-13
3685,PG
6586,Not Rated
3960,PG-13
3395,R
3254,R
5680,R
3608,R
4709,R
3198,R
3670,R
3676,R
3267,R
3352,R
5145,Not Rated
4024,PG
5320,R
3529,R
4995,PG-13
3844,R
3577,PG-13
3327,R
3259,PG-13
3686,R
3277,R
4089,PG-13
4091,PG
3659,R
3992,R
3673,R
3268,PG-13
4410,PG-13
3792,PG-13
3641,PG
3913,PG-13
4210,PG-13
3616,PG-13
3604,PG-13
3674,R
4599,R
4100,R
4047,PG
3811,PG-13
3261,R
3969,R
3691,R
4001,PG-13
3564,G
3825,R
3754,R
3525,R
4270,R
3677,PG-13
4438,R
3799,R
3578,R
3348,PG-13
4085,R
3579,R
3393,PG-13
3583,PG-13
3209,PG
3961,R
5683,TV-MA
3210,R
3326,PG-13
3822,R
4339,PG-13
3823,PG-13
5684,N/A
4408,R
5413,PG-13
4245,PG-13
4004,PG
4125,R
3639,PG-13
3681,R
4429,R
3575,R
4277,R
4014,PG-13
4246,PG-13
3920,R
3328,R
4021,R
3904,R
3593,PG-13
3324,PG-13
3347,R
3690,R
3876,PG
4048,PG-13
3682,PG-13
3302,R
4093,PG-13
3586,PG-13
4015,R
4556,PG-13
3357,R
4247,R
4285,PG
3911,PG-13
3902,R
4214,R
4050,PG-13
4008,R
3990,PG-13
3585,PG-13
3834,PG-13
6362,PG-13
3732,R
3923,PG
5071,PG
3729,R
3638,R
3723,R
3587,R
3581,R
4225,R
3594,R
4458,R
4188,R
4391,PG-13
4396,R
4272,PG-13
3918,R
3919,R
3875,R
3675,R
3933,R
3522,PG-13
3755,R
3688,PG-13
4300,N/A
4930,R
3809,PG
3837,R
3793,PG-13
4049,R
3903,G
3733,R
3812,R
4069,PG-13
4033,R
3921,PG-13
5686,R
3901,R
4624,PG-13
4453,G
4685,R
3565,PG-13
4362,R
3689,R
4121,PG-13
4642,R
4023,PG-13
3679,PG-13
6072,PG-13
3991,PG
4226,R
4053,N/A
3872,PG
3740,G
3978,R
3855,PG-13
3744,PG-13
3743,PG
4071,N/A
4369,R
4016,R
3768,Not Rated
3721,R
4167,PG-13
5373,PG
3356,R
4215,PG-13
8479,TV-G
4022,PG-13
6049,R
4286,PG-13
3668,R
3671,PG-13
4256,R
4119,R
3905,R
3396,PG
5424,R
3643,PG
3765,PG-13
4040,R
4538,PG
